Job Title,Company Name,Exp,Location,Skills,Functional Areas,rating,Vacancy,Employment Type,companyId
Urgent Requirement || Xamarin Developer || Notice: Immediate - 30 days,GlobalLogic India Private Limited ,7-11 years,"Chennai, Pune, Delhi NCR
							
								+ 2 more",",Xamarin,Xamarin Native Developer,Xamarin android native development,xamarin ios native,css",Software/Testing/Networking,3.9,,"Full Time, Permanent",1003
C#.Net WPF Developer,Cyient Limited,3-7 years,Bengaluru/Bangalore,",WCF,WPF,Healthcare,Semiconductor,Aerospace,Windows communication foundation",Software/Testing/Networking,3.6,1 vacancy,"Full Time, Permanent",1004
TLM Reconciliation Developer,NR Switch N Radio Services Pvt. Ltd. ,3-8 years,"Chennai, Bengaluru/Bangalore",",TLM,Oracle,SDLC,agile,Linux,TLM Skills",Other,3.9,,"Full Time, Permanent",1005
API Developer,NR Switch N Radio Services Pvt. Ltd. ,3-7 years,"Chennai, Pune",",API,cloud app",,3.9,,,1006
Neo4J Developer,Virtusa Consulting Services Pvt Ltd ,3-8 years,Delhi NCR,",SQL,ETL,NoSQL,Neo4J,JSON,Azure Cosmos Db",Other,3.6,,"Full Time, Permanent",1007
RPA Developer,BIRLASOFT LIMITED,2-7 years,Pune,,,3.6,,,1008
MERN (Full-Stack) Developer,Info Edge India Ltd. ,1-5 years,Delhi NCR,",Javascript,React.Js,Front End,Backend,Node.Js,MongoDB",,3.6,,,1009
Senior RPA Developer,Morningstar India (P) Ltd.,5-10 years,Mumbai,,,4.2,,,1010
Shopify Developer,Williams Commerce,3-7 years,"Ghaziabad, Delhi NCR, Noida",",SEO,Shopify,CSS,Javascript,Web Technologies,Google Analytics,Web Analytics,GIT,Shopify Plus,Shopify Liquid,Shopify API,E-commerce",Other,4.9,,"Full Time, Permanent",1011
Salesforce Developers,Fission Labs,2-7 years,Jaipur,",Apex,Visualforce,Lightning,Aura,LWC,Integrations",Other,4.6,,"Full Time, Permanent",1012
Salesforce Developers,Fission Labs,2-7 years,Hyderabad/Secunderabad,",Apex,Visualforce,Lightning,Aura,LWC,Integrations",,4.6,,,1013
Salesforce Developers,Fission Labs,2-7 years,Hyderabad/Secunderabad,,Other,4.1,,"Full Time, Permanent",1014
RPA - Automation Anywhere Developer,HAYS BUSINESS SOLUTIONS PRIVATE LIMITED  ,3-8 years,"Bengaluru/Bangalore, Gurgaon/Gurugram, Noida",",RPA,Automation An,A360,A2019,Bots",,3.5,,,1015
Hiring C++ Developer,ValueLabs LLP   ,3-7 years,Hyderabad/Secunderabad,",C,C++,Python,Visual Studio",Other,3.5,,"Full Time, Permanent",1016
Associate - API Development,Deutsche Bank,1-5 years,Pune,,,4.2,,,1017
Hiring For Node.JS Developer/Lead-ValueLabs,ValueLabs LLP   ,5-10 years,Hyderabad/Secunderabad,",Node.Js,Kafka,Javascript,html,CSS,Microservices",,3.5,,,1018
Urgent Opening For Angular Developer,Colan Infotech Pvt Ltd   ,1-4 years,Chennai,",Angular,Angularjs,Node.Js,Mean Stack",,3.5,,,1019
WNS - Azure Developer - Docker/Kubernetes (0-5 yrs),WNS,0-5 years,WNS,,,3.7,,,1020
RPA(UIPath) Developer,BIRLASOFT LIMITED   ,4-6 years,India,",C#,.Net,C#.Net,VB,SQL,C++,Programming,Web Technologies,UAT,Application Development,UIpath,RPA",Other,3.6,,"Full Time, Permanent",1021
Java Full-stack Developer (Work from Home-Permanently),UPLERS SOLUTIONS PRIVATE LIMITED    ,2-4 years,"Chennai, Pune, Delhi NCR
							
								+ 5 more",",Java,Spring Boot,Angular",,3.6,,,1022
Java Full-stack Developer (Work from Home-Permanently),UPLERS SOLUTIONS PRIVATE LIMITED    ,2-4 years,"Chennai, Pune, Delhi NCR
							
								+ 5 more",,Other,4.1,,"Full Time, Permanent",1023
React Native Developer,My Inbox Media (P) Ltd  ,2-4 years,"Delhi NCR, New Delhi",",React Native,Redux,Javascript,Mobile Application Development,Android,Github",Other,4.5,,"Full Time, Permanent",1024
CitiusTech hiring Angular Developer,CitiusTech Healthcare Technology Pvt Ltd.     ,4-9 years,"Chennai, Pune, Bengaluru/Bangalore
							
								+ 3 more",",Angular,Spring Boot,Java",,4.5,,,1025
Senior .Net and IICS developer,Unisys India Pvt. Ltd.,5-10 years,Bengaluru/Bangalore,,,4,,,1026
React JS Developer,Nickelfox Technologies Pvt Ltd   ,3-7 years,Noida,,,4,,,1027
Chemist - Analytical Method Development  & Validation - Male preferred,SGS India Pvt. Ltd.  ,3-8 years,Navi Mumbai,",HPLC,UPLC,Dissolution,Analytical Method Development,Validation,Pharma",Other,3.9,,"Full Time, Permanent",1028
Hiring SAP ABAP (L3) Developer,Born Commerce Private Limited,8-13 years,Bengaluru/Bangalore,",Abap Objects,Adobe Forms,Smartforms,Badi,Odata,IDOC",,3.9,,,1029
Senior API Developer,IDFC FIRST Bank,3-7 years,Hyderabad/Secunderabad,",Information technology,Middleware,Performance monitoring,Programming,Web services,Management",,4.1,,,1030
Hiring SAP ABAP (L2) Developer,Born Commerce Private Limited ,4-8 years,Bengaluru/Bangalore,",SAP ABAP,Cds,WebDynPro ABAP,Brf",Other,4.1,,"Full Time, Permanent",1031
Hiring SAP FICO & FSCM Developer,Born Commerce Private Limited ,8-13 years,Bengaluru/Bangalore,",SAP FICO,FSCM",,4.1,,,1032
Hiring Spring Batch Developer,Born Commerce Private Limited ,5-10 years,Pune,",Javascript,HTML,Bootstrap,JQuery,CSS,Web Technologies",,4.1,,,1033
Matrimony.com - Node.js Developer - RDBMS (2-7 yrs),Matrimony.com,2-7 years,Born Commerce,",MongoDB,Node.js,Express.js,OOPS,RDBMS,Rest Webservices",,4.1,,,1034
Gainsight Developer,CommVault Systems (India) Private Limited  ,2-7 years,Hyderabad/Secunderabad,",Maintenance,Business System,System Analysis,Gainsight,Campaigns,Programs",Other,4.3,,"Full Time, Permanent",1035
React Native Developer,Real Page India Pvt. Ltd. ,5-10 years,Hyderabad/Secunderabad,,Other,3.9,,"Full Time, Permanent",1036
Developer Trading System,Credit Suisse Services India Private Limited ,8-13 years,Pune,",Money Market,Investment Banking,Service Delivery Management,Wealth Management,Trading,Java",Software/Testing/Networking,3.7,1 vacancy,"Full Time, Permanent",1037
Amdocs Hiring _ C++ Developer,Amdocs Development Centre India LLP ,1-5 years,"Pune, Gurgaon/Gurugram",",C++,Embedded C,Embedded,C++ Developer",Other,3.9,,"Full Time, Permanent",1038
MS Dynamics 365 CRM (Field Service) Sr. Developer,Mouri Tech (P) Ltd   ,4-9 years,"Kolhapur, Bengaluru/Bangalore, Hyderabad/Secunderabad
							
								+ 1 more",",Dynamics 365,Field Service,microsoft dynamics CRM",Other,3.9,,"Full Time, Permanent",1039
Xamarin Developer ,Cogniter Technologies.,0-8 years,Chandigarh,",PHP,XML,Windows,Android,SEO,microsoft",Software/Testing/Networking,4.1,1 vacancy,"Full Time, Permanent",1040
Control M Developer,Luxoft,3-7 years,Chennai,",Unix,Informatica,Datastage,Automation,PLSQL,Business intelligence,Troubleshooting,Control-M,remediation,Balance Sheet",Software/Testing/Networking,4.5,1 vacancy,"Full Time, Permanent",1041
Calypso Developer,Luxoft,4-8 years,Bengaluru/Bangalore,",Unix,Production support,Maven,calypso,Fixed income,Back office",,4.5,,,1042
Calypso Developer,Luxoft,4-8 years,Pune,",Unix,Production support,Maven,calypso,Fixed income,Back office",,4.5,,,1043
C++  Developer - Interoperability,Dassault Systemes,2-7 years,"Pune, Pune",",C++,Oops",Software/Testing/Networking,4.3,,"Full Time, Permanent",1044
Senior RPA Developer (UiPath),BEO Software Pvt Ltd,3-8 years,"Ernakulam, Cochin/Ernakulam/Kochi",",MS Office,Process automation,Finance control,SAP R3,development testing,Purchase",Software/Testing/Networking,4.9,1 vacancy,"Full Time, Permanent",1045
Java/AngularJS Developer - Application Designing (4-12 yrs),Randstad india pvt ltd,4-12 years,,",Java,AngularJS,Application Designing,J2EE,RDBMS,ORM",Software/Testing/Networking,4.1,,,1046
ERP Next Developer,Uttam Sugar Mills Limited ,1-3 years,Delhi NCR,",ERP,Python,CSS,Javascript,frappe,erp next",,4.1,,,1047
SharePoint - PowerApps Developer,Genpact India Pvt Ltd,4-9 years,"Bengaluru/Bangalore, Hyderabad/Secunderabad, Noida",",Powerapps,Sharepoint,Power automate,Microsoft CDS,Microsoft Flow,Microsoft Power Platform",Other,3.8,,"Full Time, Permanent",1048
iOS  Developer,MAHINDRA HOLIDAYS AND RESORTS INDIA LIMITED ,2-5 years,Pune,",IOS,React Native,Swift 5",,3.8,,,1049
Wipro Ltd hiring For C++ & QT developer For TOP product based client,Wipro Infotech (A division of Wipro Limited)   ,4-7 years,Bengaluru/Bangalore,,,3.8,,,1050
Job | Hiring PHP + React JS Developer / React JS Developer + PHP -Pune,DBXento Systems Pvt. Ltd. ,4-7 years,Pune,",Javascript,MySQL,Ajax,PHP,MVC,Front End,Postgresql,Web Application Development,Software Development Methodologies,Web Technologies,React.Js,React JS,SQL writing,OOPS,Object Oriented Programming,Design Patterns,12 factors App,Core PHP,API",Other,4,,"Full Time, Permanent",1051
Job | Hiring PHP + React JS Developer / React JS Developer + PHP -Pune,DBXento Systems Pvt. Ltd. ,4-7 years,Pune,",Javascript,MySQL,Ajax,PHP,MVC,Front End",,4,,,1052
EY - Actimize Developer - Java/SQL/Shell Scripting (3-8 yrs),Ey India,3-8 years,Ernst & Young,",Actimize,Actimize RCM,SQL,Java,Webservices,XML",Software/Testing/Networking,3.7,,,1053
Opportunity For Highjump Developer,Cybage Software Pvt. Ltd     ,2-7 years,"Gandhinagar, Pune, Hyderabad/Secunderabad",",MS SQL Server,ASP.Net,.NET Framework,Highjump,High jump,Highjump Developer",Other,3.8,,"Full Time, Permanent",1054
Node js Developer,Altimetrik India Pvt. Ltd   ,4-7 years,"Chennai, Pune, Bengaluru/Bangalore
							
								+ 2 more",",NoSQL,Node.Js,Node,Node js,Express,Hapi",,3.9,,,1055
C++ Developer,Intellect Design Arena Limited  ,3-5 years,Chennai,,,3.9,,,1056
Node JS Developer,NR Switch N Radio Services Pvt. Ltd. ,1-5 years,Pune,",Front End Design,Backend,SERVER SITE,Node.Js,React.Js,UI",Other,3.9,,"Full Time, Permanent",1057
Root Info Solutions - React.js Developer - Javascript/ES6 (1-5 yrs),Root Info Solutions,1-5 years,Root Info Solutions,,,4.4,,,1058
Root Info Solutions - React.js Developer - Javascript Object Model (3-6 yrs),Root Info Solutions,3-6 years,Root Info Solutions,",React.js,HTML,CSS,Javascript,REST API,RESTful API",,4.4,,,1059
Angular Developer,Intellect Design Arena Limited  ,2-7 years,"Hyderabad/Secunderabad, Mumbai",",Restful Webservices,HTML,CSS,Javascript,JQuery,Angular",,3.9,,,1060
Angular Developer,Intellect Design Arena Limited  ,2-7 years,"Hyderabad/Secunderabad, Mumbai",",Restful Webservices,HTML,CSS,Javascript,JQuery,Angular",Software/Testing/Networking,3.9,,"Full Time, Permanent",1061
SpringBoot Developer,Intellect Design Arena Limited  ,2-7 years,"Hyderabad/Secunderabad, Mumbai",",Design Patterns,Software Analysis,Maintenance,Debugging,Spring,Microservices",,3.9,,,1062
Odoo Developer (Remote- WFH),Galaxy Web Links Limited ,2-5 years,Indore,",Python,Odoo,qweb,modules development,Odoo Template/Theme Creation,Odoo APIs",,3.9,,,1063
Developers,ITC Infotech India Ltd.,7-10 years,Bengaluru/Bangalore,",HTML,Javascript,Analytical,google maps,Bluetooth,Mobile development",Software/Testing/Networking,3.4,1 vacancy,"Full Time, Permanent",1064
Datawarehouse Developer,ITC Infotech India Ltd.,4-7 years,Bengaluru/Bangalore,",SQL,Oracle,MySQL,Informatica,Data warehousing,Datastage",,3.4,,,1065
Developers,ITC Infotech India Ltd.,2-5 years,Bengaluru/Bangalore,",SQL,Python,SSIS,SSRS,Scripting",,3.4,,,1066
Developers,ITC Infotech India Ltd.,2-5 years,Bengaluru/Bangalore,",SQL,Troubleshooting,DNS,HTTP,Cloud computing,SSL",,3.4,,,1067
Datawarehouse Developer,ITC Infotech India Ltd.,4-7 years,Bengaluru/Bangalore,",Data warehousing,Test case execution,Technology consulting,Testing,Cloud,Delta",,3.4,,,1068
Developers,ITC Infotech India Ltd.,2-5 years,Bengaluru/Bangalore,",Core Java,Automation,Performance testing,SDLC,Selenium,POM",,3.4,,,1069
Developers,ITC Infotech India Ltd.,2-5 years,Bengaluru/Bangalore,",Coding,PLSQL,MS SQL,T-SQL,Troubleshooting,Database",,3.4,,,1070
Developers,ITC Infotech India Ltd.,4-8 years,Gurgaon/Gurugram,",Automation,Agile,Selenium,Mobile testing,Automation testing,Testing,Web technologies,data services,appium",Software/Testing/Networking,3.4,1 vacancy,"Full Time, Permanent",1071
Datawarehouse Developer,ITC Infotech India Ltd.,5-8 years,Bengaluru/Bangalore,",Manager Quality Assurance,Consulting,Business intelligence,Business operations,Social media,Operations",,3.4,,,1072
Developers,ITC Infotech India Ltd.,5-8 years,Bengaluru/Bangalore,",PHP,Javascript,XML,MySQL,CRM,SOA",,3.4,,,1073
Developers,ITC Infotech India Ltd.,2-5 years,Bengaluru/Bangalore,",Coding,PLSQL,MS SQL,T-SQL,Troubleshooting,Database",Software/Testing/Networking,3.4,1 vacancy,"Full Time, Permanent",1074
Developers,ITC Infotech India Ltd.,2-5 years,Bengaluru/Bangalore,",Core Java,Automation,Performance testing,SDLC,Selenium,POM",Software/Testing/Networking,3.4,1 vacancy,"Full Time, Permanent",1075
Developers,ITC Infotech India Ltd.,4-7 years,Bengaluru/Bangalore,",Javascript,HTML,Bluetooth,SQLite,Analytical,google maps",,3.4,,,1076
Android Native & Framework Developer,VISTEON AUTOMOTIVE (INDIA) PRIVATE LIMITED,4-6 years,Bengaluru/Bangalore,",Android,Automotive,Android SDK,JNI,SEZ,android framework",,3.4,,,1077
Angular Developer,HAYS BUSINESS SOLUTIONS PRIVATE LIMITED  ,1-6 years,"Delhi NCR, Noida",,,3.5,,,1078
Peoplesoft Technical / Global Payroll Developer,HAYS BUSINESS SOLUTIONS PRIVATE LIMITED,3-8 years,Noida,",peoplecode,application engine,application design,ps query,peopletools,hrms",,3.5,,,1079
Job || Senior Ruby Rail Developer (US MNC),Trantor Software Pvt. Ltd. ,4-8 years,"Chandigarh, Gurgaon/Gurugram",",GIT,Ruby,Software Development,Heroku,Automation Testing,Front End",,3.5,,,1080
"SAP ABAP BOPF Developer
",Hinduja Tech Limited ,4-9 years,"Chennai, Pune, Bengaluru/Bangalore
							
								+ 1 more",",SAP ABAP BOPF,SAP ABAP,sap,ABAP,BOPF,SAP TM",Other,3.6,,"Full Time, Permanent",1081
Laravel Developer | Work From Home,UPLERS SOLUTIONS PRIVATE LIMITED    ,3-8 years,"Pune, Bengaluru/Bangalore, Gurgaon/Gurugram",,,4.6,,,1082
Laravel Developer,UPLERS SOLUTIONS PRIVATE LIMITED    ,3-8 years,"Hyderabad/Secunderabad, Noida, Mumbai",",Laravel,PHP,React.Js,CakePHP,Angularjs,Node.Js",,4.6,,,1083
Node.js Developer | Work From Home,UPLERS SOLUTIONS PRIVATE LIMITED    ,5-10 years,"Chennai, Hyderabad/Secunderabad, Noida",",Javascript,Laravel,Php Frameworks,Node.Js,Graphql,MongoDB",,4.6,,,1084
Trantor Software - Node.js Developer - GraphQL/ElasticSearch (2-10 yrs),Trantor Software,2-10 years,Trantor,",Node.js,ElasticSearch,Kafka,GraphQL,VanillaJS,MongoDB",Software/Testing/Networking,4.1,,,1085
Hot Vacancy For Developer cum Support Profile,Teamware Solutions ( A division of Quantum Leap Co     nsulting Private LTD).,3-6 years,Bengaluru/Bangalore,,,4.2,,,1086
Urgent Requirement-  Support and development-  TM1 Analyst- Bangalore,Fundtech India Pvt. Ltd.   ,4-7 years,"Pune, Thiruvananthapuram, Bengaluru/Bangalore",",SQL,Report Studio,Framework Manager,Cognos BI,Query Studio,Test Scripts",,4.2,,,1087
Contractual Hiring For Senior Java Micro Service Developer,Axis Bank Limited    ,8-10 years,India,,,3.8,,,1088
React.js Developer - Javascript (4-10 yrs),Randstad India,4-10 years,Randstad,,,4.1,,,1089
React.js Developer - Javascript (4-10 yrs),Randstad India,4-10 years,Datamatics Global Services,,Software/Testing/Networking,3.6,,,1090
"Consultant, Development",Infogain India (P) Ltd.,3-4 years,Noida,",Unix,Informatica,Shell scripting",Software/Testing/Networking,3.5,1 vacancy,"Full Time, Permanent",1091
"Consultant, Development",Infogain India (P) Ltd.,3-4 years,Noida,",SQL,Test cases,Manual",,3.5,,,1092
"Consultant, Development",Infogain India (P) Ltd.,3-4 years,Noida,",Data analysis,Business intelligence,Data modeling,SSIS,RDBMS,SSRS",,3.5,,,1093
"Consultant, Development",Infogain India (P) Ltd.,3-4 years,Mumbai,",SQL,jQuery,MVC,Entity framework,Javascript,ASP.Net",,3.5,,,1094
"Consultant, Development",Infogain India (P) Ltd.,3-4 years,Mumbai,",SQL,jQuery,MVC,Entity framework,Javascript,ASP.Net",Software/Testing/Networking,3.5,1 vacancy,"Full Time, Permanent",1095
"Consultant, Development",Infogain India (P) Ltd.,3-4 years,Noida,",SQL,Database maintenance,Monitoring,Management",,3.5,,,1096
"Consultant, Development",Infogain India (P) Ltd.,3-4 years,Noida,",Unix,Informatica,Shell scripting",,3.5,,,1097
"Consultant, Development",Infogain India (P) Ltd.,3-4 years,Noida,",Technical support,SDLC,Software development life cycle,Programming,ASP.Net,Deployment",,3.5,,,1098
LnT Infotech - Guidewire Developer - PolicyCenter Integration/Configuration (2-8 yrs),LnT Infotech,2-8 years,Larsen & Toubro Infotech,",Guidewire,Guidewire Integration,Guidewire Configuration,Guidewire PolicyCenter,Design Patterns,OOPS",,3.9,,,1099
React JS Developer _Bangalore,QuEST Global Engineering Services Private Limited  ,3-5 years,Bengaluru/Bangalore,",Javascript,Angularjs,Pwa,Angular,Redux,Responsive Design",,3.9,,,1100
Talend Developer - 3 To 5 years - Immediate,Perficient India Private Limited ,2-7 years,"Chennai, Pune, Bengaluru/Bangalore",",Talend,SQL,Unix",Other,4.1,,"Full Time, Permanent",1101
Fertilizer Grade Developer,Deepak Fertilisers and Petrochemicals Corporation  Limited,6-11 years,Sanaswadi - Pune,",Production,Fertilizer",,4.1,,,1102
Fertilizer Grade Developer,Deepak Fertilisers and Petrochemicals Corporation  Limited,6-11 years,Sanaswadi - Pune,,Other,3.5,,"Full Time, Permanent",1103
5G LTE Automation System & Script developer,MEDIATEK INDIA TECHNOLOGY PRIVATE LIMITED ,3-8 years,Noida,",RRC,LTE,RLC,Python,Flask,3Gpp",,3.5,,,1104
5G LTE Automation System & Script developer,MEDIATEK INDIA TECHNOLOGY PRIVATE LIMITED ,3-8 years,Noida,,Other,4.7,,"Full Time, Permanent",1105
Data Visualization Developer,"Qualcomm Technologies, Inc",1-5 years,Hyderabad/Secunderabad,,,4.2,,,1106
API Developer,THBS,2-5 years,Bengaluru/Bangalore,",API Developer",,4.2,,,1107
RPA DEVELOPER,Wissen Infotech Pvt Ltd,2-6 years,Bengaluru/Bangalore,",Automation,Python,Scripting,VBA",Software/Testing/Networking,4.2,1 vacancy,"Full Time, Permanent",1108
Services Software Expert( ENOVIA Developer),3D PLM Software Solutions Ltd.,2-8 years,Pune,,,4.3,,,1109
Services Software Expert (ENOVIA Developer),3D PLM Software Solutions Ltd.,2-8 years,Bengaluru/Bangalore,",SQL,Oracle,Linux,XML,MySQL,Core Java",,4.3,,,1110
RPA DEVELOPER,Wissen Infotech Pvt Ltd,2-6 years,Bengaluru/Bangalore,",Automation,Python,Scripting,VBA",Software/Testing/Networking,4.2,1 vacancy,"Full Time, Permanent",1111
Services Software Expert( ENOVIA Developer),3D PLM Software Solutions Ltd.,2-8 years,Pune,",SQL,Oracle,Linux,XML,MySQL,Core Java",Software/Testing/Networking,4.3,1 vacancy,"Full Time, Permanent",1112
Hiring For AEM- Develope & Lead Position | Globant,Globant India Private Limited,6-11 years,"Pune, Indore, Bengaluru/Bangalore",,,4,,,1113
Hiring For PHP/ Laravel Developers- Required Immediate Joiners,SutiSoft Pvt. Ltd  ,0-2 years,Hyderabad/Secunderabad,,,4,,,1114
Hiring For PHP/ Laravel Developers- Required Immediate Joiners,SutiSoft Pvt. Ltd  ,0-2 years,Hyderabad/Secunderabad,,Other,3.8,,"Full Time, Permanent",1115
Node JS Developer - Hyderabad,FISSION COMPUTER LABS PRIVATE LIMITED  ,3-6 years,Hyderabad/Secunderabad,,,4.6,,,1116
Lead Angular Developer - Hyderabad,FISSION COMPUTER LABS PRIVATE LIMITED  ,6-8 years,Hyderabad/Secunderabad,",Javascript,Angular,Software Development,Rest,JavaScript developer,Angular developer",,4.6,,,1117
Cogniter Technologies - Xamarin Developer - Mobile App Architecture (0-5 yrs),Cogniter Technologies,0-5 years,Cogniter Technologies,,,4.1,,,1118
Spring Boot Developer,Stock Holding Corporation Of India Limited  ,3-8 years,"Navi Mumbai, Mumbai",",Java,J2EE,Microservices,spring,spring - boot,ORM",,4.1,,,1119
Spring Boot Developer,Stock Holding Corporation Of India Limited  ,3-8 years,"Navi Mumbai, Mumbai",,Other,3.5,,"Full Time, Permanent",1120
Wipro Ahemedabad Hiring For ETL- Developer-Sasdi,Wipro,3-6 years,Ahmedabad,",ETL,SAS DI",Other,3.8,,"Full Time, Permanent",1121
Senior MERN Stack Developer,Capital Numbers Infotech,5-8 years,Kolkata,",Javascript,Redux,Front End,Mobx,CSS,Html5",,3.8,,,1122
Senior MERN Stack Developer,Capital Numbers Infotech,5-8 years,Kolkata,",Javascript,Redux,Front End,Mobx,CSS,Html5",Other,4.3,,"Full Time, Permanent",1123
React.Js Developer,Capital Numbers Infotech,3-8 years,Kolkata,,Software/Testing/Networking,4.4,,"Full Time, Permanent",1124
Machine Learning Role - Scorecard Model Development - Consulting Firm (2-10 yrs),Crescendo Global,2-10 years,IRIS Business Services,",Machine Learning,PhD,Analytics,Risk Analytics,Predictive Modeling,Python",,4.4,,,1125
Duck Creek Developers,Duck Creek Technologies India LLP ,4-9 years,Mumbai,,,4.7,,,1126
Senior Azure Developer,Harman Connected Services Corporation India Pvt.,2-5 years,"Bengaluru/Bangalore, United States (U.S)",",Python,Spark,Sql,Azure,Hardware,Android",,4.7,,,1127
"Consultant, Development",Infogain India (P) Ltd.,6-8 years,Mumbai,",Javascript,HTML,Troubleshooting,Agile,Maven,JIRA",Software/Testing/Networking,3.5,1 vacancy,"Full Time, Permanent",1128
"Consultant, Development",Infogain India (P) Ltd.,3-4 years,Pune,",Linux,MySQL,Ubuntu,Mac Os,Ruby on rails,Development Lead",,3.5,,,1129
RPA Developer - Infinx Healthcare,Infinx Services Pvt Ltd ,2-7 years,Bengaluru/Bangalore,",Javascript,Gradle,Continuous Integration,SQL Server,Continuous Delivery,Python",,3.5,,,1130
Manager - Partnership Development,Star Union Dai-ichi Life Insurance Company Limited ,9-12 years,"Navi Mumbai, Thane, Mumbai",",Selling,Sales,New Business,Marketing,Profitability,PSU,Customer Service,Heading,Business Solutions,Information Technology,Channel Management,Key Account Management",Banking/Insurance,3.6,,"Full Time, Permanent",1131
React Native Developer - iOS & Android Platform,Zapbuild Technologies,1-2 years,Chandigarh,",OOPS,Mobile App Designing,Middleware,Redux,Javascript,TypeScript",,3.6,,,1132
React Native Developer - iOS & Android Platform,Zapbuild Technologies,1-2 years,Chandigarh,",OOPS,Mobile App Designing,Middleware,Redux,Javascript,TypeScript",Software/Testing/Networking,3.8,,"Full Time, Permanent",1133
ReactJS Developer,Virtusa Consulting Services Pvt Ltd,5-10 years,Pune,,,3.6,,,1134
Manager- Partnership Development,Star Union Dai-ichi Life Insurance Company Limited ,8-13 years,"Navi Mumbai, Thane, Mumbai",",Selling,Sales,New Business,Marketing,Profitability,PSU",,3.6,,,1135
Java Microservice Developer,Virtusa Consulting Services Pvt Ltd ,5-10 years,"Hyderabad/Secunderabad, Mumbai",",Spring,JPA,J2Ee,Core Java,Restful Webservices,Rest",,3.6,,,1136
Node JS developers,Cybage Software Pvt. Ltd   ,3-6 years,Pune,,,3.8,,,1137
Cybage software hiring For Node JS developers,Cybage Software Pvt. Ltd   ,2-6 years,Pune,",Node.Js,AWS,Javascript",,3.8,,,1138
A  Hiring alert For Microfocus PPM developer in a 20 Year company.,Wissen Infotech Pvt. Ltd. ,5-8 years,"Bengaluru/Bangalore, Hyderabad/Secunderabad",,,4.2,,,1139
Fabulous opportunity For WPF developer,Wissen Infotech Pvt. Ltd. ,3-7 years,Bengaluru/Bangalore,",C#,WPF,.Net,Visual Studio,Software Engineering",,4.2,,,1140
Setup Developer,Siemens Limited,3-5 years,Bengaluru/Bangalore,",VB,Automation,Troubleshooting,Debugging,Visual Studio,Scrum,Consulting,Installshield,MSP,MSI",Software/Testing/Networking,4.2,1 vacancy,"Full Time, Permanent",1141
Setup Developer,Siemens Limited,5-8 years,Bengaluru/Bangalore,",VB,Automation,Troubleshooting,Debugging,Visual Studio,Scrum",,4.2,,,1142
Cloud Microservices Developer,Siemens Limited,2-7 years,Hyderabad/Secunderabad,",Core Java,Automation,Agile,CAD,Automotive,Project planning",,4.2,,,1143
Urgent Hiring For Java Spring Boot Developer - Maveric Systems Pune,Maveric Systems Limited     ,4-8 years,Pune,",Java,Spring Boot,Hibernate,Advanced Java",,4.2,,,1144
Oracle ERP - Finance Module Developer,Netapp India Private Limited,6-11 years,Bengaluru/Bangalore,,,3.7,,,1145
Urgent Opening For Dot Net web service Developer. PUNE,MDINDIA HEALTH INSURANCE TPA PVT LTD ,2-7 years,Pune,",.Net,Net,Web Technologies",Other,3.9,,"Full Time, Permanent",1146
Fullstack (React & Node) Developer / InfoObjects Inc,INFOOBJECTS SOFTWARE ( INDIA) PRIVATE LIMITED ,3-8 years,"Delhi NCR, Gurgaon/Gurugram, Jaipur",",Microservices,AWS,Kubernetes,docker,React.Js,Node",,3.9,,,1147
.NET Core Developer,Pulse Solutions,2-6 years,Surat,",asp.net,ASP.Net MVC,asp .net C#,angular,Angularjs,Entity Framework",,4.3,,,1148
Data Hub Developer,DXC Technology India Private Limited,3-8 years,"Chennai, Pune, Delhi NCR
							
								+ 3 more",,,3.5,,,1149
Data Hub Developer,DXC Technology India Private Limited,3-8 years,"Chennai, Pune, Delhi NCR
							
								+ 3 more",",Hub,IT Services,Hadoop,Spark,Big Data,Java",Other,3.5,,"Full Time, Permanent",1150
SAP Utilities Billing Developer,Accenture Solutions Pvt Ltd,3-6 years,Pune,",SAP,ABAP,Debugging,Consulting,Functional testing,Business process,Test scripts,Analytical,Operations,Financial management",Other,4,,"Full Time, Permanent",1151
Enovia Developer,Dassault Systemes,2-4 years,Pune,,,4.3,,,1152
"Consultant, Development",Infogain India (P) Ltd.,4-6 years,Bengaluru/Bangalore,,,3.5,,,1153
"Consultant, Development",Infogain India (P) Ltd.,2-3 years,Noida,",Oracle,Relationship management,DRM",,3.5,,,1154
"Consultant, Development",Infogain India (P) Ltd.,2-5 years,Bengaluru/Bangalore,",Python,MS SQL,Open source,Selenium,Debugging,POM",,3.5,,,1155
"Consultant, Development",Infogain India (P) Ltd.,4-6 years,Bengaluru/Bangalore,",Eclipse,Agile,Selenium,Debugging,Maven,Test management",,3.5,,,1156
"Consultant, Development",Infogain India (P) Ltd.,4-6 years,Bengaluru/Bangalore,",Manual testing",,3.5,,,1157
"Consultant, Development",Infogain India (P) Ltd.,3-4 years,Bengaluru/Bangalore,",SSIS,microsoft,SSRS,Test cases,Reporting tools,SQL Server integration services",,3.5,,,1158
"Consultant, Development",Infogain India (P) Ltd.,4-6 years,Bengaluru/Bangalore,",SQL,Manual testing,Automation,SDLC,Agile,API Testing",,3.5,,,1159
"Consultant, Development",Infogain India (P) Ltd.,4-6 years,Bengaluru/Bangalore,",SQL,WCF,WPF,Application development,SSRS,Object oriented design",,3.5,,,1160
